tenquan,diachi,rating,item,price
KuBin - Trà Sữa Thạch Phô Mai - Huỳnh Tấn Phát,"1806/21 Huỳnh Tấn Phát, TT. Nhà Bè, Nhà Bè, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Bánh Tráng Tóp Mỡ Trứng Lòng Đào - Thèm Gì Cũng Có - Ngô Tất Tố,"42 Ngô Tất Tố, P. 19, Bình Thạnh, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Bánh Tráng Tỏi 019 - Trần Quốc Toản,"Số 3 Trần Quốc Toản, P. Võ Thị Sáu, Quận 3, TP. HCM",0,Combo Udon Xá Xíu,160000
Bún Đậu Nón Lá - Nguyễn Tri Phương,"188 Nguyễn Tri Phương, P.4, Quận 10, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Bánh Bao Thúy Đỗ - Bánh Bao Xá Xíu Phô Mai - 173 Nguyễn Thiện Thuật,"173 Nguyễn Thiện Thuật, P. 1, Quận 3, TP. HCM",0,Combo Udon Xá Xíu,160000
Chân Gà Sốt Thái & Gỏi Bạch Tuộc - Bùi Đình Tuý,"304/61 Bùi Đình Tuý, P. 12, Bình Thạnh, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Dê Tươi 100% Ngọc Dương Quán - 365 Nơ Trang Long,"365 Nơ Trang Long, P. 13, Bình Thạnh, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Kem Swensen's - Nguyễn Thái Học,"73 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,Combo Udon Xá Xíu,160000
The Coffee Bean & Tea Leaf - Nguyễn Huệ,"101 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",4.5,Combo Udon Xá Xíu,160000
TUTIMI - Milo Dầm - Trà Sữa & Coffee - Nguyễn Tri Phương,"372 Đ. Nguyễn Tri Phương, P. 4, Quận 10, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Kimbap City - Món Ăn Hàn Quốc - Cách Mạng Tháng 8,"134/16 Cách Mạng Tháng 8, P. 9, Quận 3, TP. HCM",4.5,Combo Udon Xá Xíu,160000
"Mì Xào Bò, Hủ Tiếu Xào Bò & Cơm Chiên Xá Xíu - Tâm Ký","75 Đường Hoàng Ngọc Phách, P. Phú Thọ Hòa, Tân Phú, TP. HCM",4.5,Combo Udon Xá Xíu,160000
TH true mart - Phạm Hùng - 70000220,"231 Phạm Hùng, P. 4, Quận 8, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Súp Cua Mộc - Kha Vạn Cân,"1007 Kha Vạn Cân, P. Linh Tây, Thành Phố Thủ Đức, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Domino’s Pizza - Quốc Hương,"14G Quốc Hương, P. Thảo Điền, Thành Phố Thủ Đức, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Kem Dairy Queen - Lotte Mart Gò Vấp,"Tầng Trệt, Tầng Trệt Lotte Mart Gò Vấp, 242 Nguyễn Văn Lượng, P. 10, Gò Vấp, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Bánh Tráng Cô Sương - Bánh Tráng Chấm & Bánh Tráng Cuốn - Phùng Văn Cung,"2G Phùng Văn Cung, P. 7, Phú Nhuận, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Phúc Long D39 Bình Trưng Tây,"109 Đường 39, Ấp Trung 2, P. Bình Trưng Tây, Thành Phố Thủ Đức, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Sữa Chua Trân Châu Hạ Long - Đường Số 7,"247 Đường Số 7, P. Bình Trị Đông B, Bình Tân, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Trà Sữa Sunday Basic - Phan Văn Hớn,"52/1B Phan Văn Hớn, Ấp Tiền Lân 1, X. Bà Điểm, Hóc Môn, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Mì Cay Sasin - 144 Quang Trung,"144 Quang Trung, P. 10, Gò Vấp, TP. HCM",4.5,Combo Udon Xá Xíu,160000
Ai-CHA - Phan Xích Long,"228 Phan Xích Long, P. 7, Phú Nhuận, TP. HCM",4.5,Combo Udon Xá Xíu,160000
TOUS les JOURS - Hai Bà Trưng,"180 Hai Bà Trưng, Quận 1, TP. HCM",4.5,Combo Udon Xá Xíu,160000
