id,tenquan,diachi,rating
1,Bánh Mỳ Doner Kebab Bánh Mỳ Mạnh Vũ - Ngọc Hà,Hà Nội,4.5
2,Bánh Mỳ Doner Kebab - Bánh Mỳ Mạnh - Ngọc Hà,Hà Nội,4.5
3,Anh Thư - Bánh Cuốn Gia Truyền - Ngỗ Sĩ Liên,Hà Nội,4.6
4,Bún Riêu Góc Phố,Hà Nội,4.3
5,Bami King - Bánh Mì Bò Nướng & Cơm Thố - An Trạch,Hà Nội,4.6
6,Bánh Mỳ Donner Kebab - Bánh Mỳ Vũ - Nguyễn Biểu,Hà Nội,5
7,Cháo 37 - 318 Khâm Thiên,Hà Nội,4.5
8,Bánh Mì Hội An - 50 Ngõ Thông Phong,Hà Nội,30 mins  •  0.3 km
9,Bánh Mì Vui - Cát Linh,Hà Nội,4.7
10,Starbucks Coffee - Tòa nhà Việt Tower,Hà Nội,4.4
11,Bánh Mì Que - Bảo Lam - Nguyễn Phạm Tuân,Hà Nội,4
12,Bánh Mì 48 Món Ngon Nhà Làm,Hà Nội,4.7
13,Bánh Mì Sài Gòn Như Ý - Quốc Tử Giám,Hà Nội,4.6
14,Bánh Đa Trộn Dốc Thọ Lão,Hà Nội,4.3
15,Bánh Cuốn Gia Truyền Anh Dương - Quán Thánh,Hà Nội,4.4
16,Bánh Mì Hương Lan - Láng Hạ,Hà Nội,4.5
17,"Cơm, Gà Rán & Mì Trộn Bếp Nhà Cám",Hà Nội,4.6
18,Highlands Coffee - 139 Hào Nam - Hà Nội,Hà Nội,4.3
19,Bún Bò Huế - Thử Là Ghiền Online,Hà Nội,4.2
20,Bami Bread - Bánh Mì Hội An - Trần Hưng Đạo,Hà Nội,4.5
21,Circle K - Số 123 phố Tôn Đức Thắng,Hà Nội,4.5
22,Hùng Thái - Bún Chả Hàng Mành Thành Công,Hà Nội,4.5
23,Bami Sot - Bánh Mì Sốt Đặc Biệt - Lò Đúc,Hà Nội,4.3
24,Cafe Muối - Cafe Hà Nội 1995 - 160 Tôn Đức Thắng,Hà Nội,4.7
25,Bánh Mì Dân Tổ - Phạm Ngọc Thạch,Hà Nội,3.9
26,Bánh Cuốn Bà Hoành,Hà Nội,4.1
27,Bún Bò Huế An Cựu - Đội Cấn,Hà Nội,4.6
28,Tiệm Cafe Việt - Cafe Rang Xay,Hà Nội,5
29,Phở Bò Phố Cổ - Sốt Vang,Hà Nội,20 mins  •  1 km
30,Phở 89,Hà Nội,4.3
31,Bún Bò Huế Nam Minh - Mai Anh Tuấn,Hà Nội,4.4
32,"Bún Cá, Bánh Đa Cá Hải Phòng - Thái Hà",Hà Nội,4.4
33,Bún Sườn Chua Phạm Ngọc Thạch,Hà Nội,4.3
34,Bánh Mì Sài Gòn - 182 Tôn Đức Thắng,Hà Nội,4.5
35,Bún Riêu Cua Út Phương - 227 Hoàng Cầu,Hà Nội,4.6
36,Bún Cá Chấm Gốc Đa - Vũ Thạnh,Hà Nội,4.4
37,Phở Bò - Cơm Rang Số 1 - Phan Phù Tiên,Hà Nội,3.5
38,Linh Mì Indomie 79 - Mỳ Cay 7 Cấp Độ,Hà Nội,4.3
39,Xôi Mây - 31 Lý Thường Kiệt,Hà Nội,4.5
40,Bánh Cốm Gia Truyền Nguyễn Minh,Hà Nội,4.6
41,Cháo Sườn Bà Lợi Còng,Hà Nội,4.7
42,Bánh Cuốn Lạng Sơn,Hà Nội,5
43,Bún Cá & Bún Thái Hải Sản - Thổ Quan,Hà Nội,4.8
44,QUÁN TỐNG THÊM - ĐẶC SẢN BÁNH CUỐN CAO BẰNG,Hà Nội,4.9
45,Blackbird Coffee Lãn Ông,Hà Nội,4.5
46,Bánh Mì Sài Gòn - 204d Đội Cấn,Hà Nội,4.6
