idquan,rating,item,price
1,4.5,Phin Đen - Black Phin,45000
2,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
3,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
4,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
5,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
6,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
7,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
8,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
9,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
10,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
11,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
12,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
13,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
14,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
15,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
16,0,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
17,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
18,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
19,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
20,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
21,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
22,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
23,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
24,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
25,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
26,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
27,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
28,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
29,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
30,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
31,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
32,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
33,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
34,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
35,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
36,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
37,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
38,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
39,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
40,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
41,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
42,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
43,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
44,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
45,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
46,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
47,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
48,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
49,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
50,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
51,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
52,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
53,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
54,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
55,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
56,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
57,4.5,Ngàn Lớp Hạnh Nhân  - Almond Croissant,79000
