id,tenquan,diachi,rating
1,Cơm Thố Anh Nguyễn - Vinhomes Grand Park (Q.9),"Shophouse S1.07.01S11 Vinhomes Grand Park, Đường Nguyễn Xiển, P. Long Thạnh Mỹ, Thành Phố Thủ Đức, TP. HCM",4.5
2,Elys Coffee - Cà Phê Muối - 168 Nguyễn Đình Chiểu,"168 Nguyễn Đình Chiểu, Quận 3, TP. HCM",0
3,Bánh Canh Tôm Càng - Hai Béo - Luỹ Bán Bích,"563 Luỹ Bán Bích, P. Phú Thạnh, Tân Phú, TP. HCM",4.5
4,Quán Ăn Tâm Ký - 141 Tây Thạnh,"141 Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",4.5
5,Quán Chay Bồ Đề Tịnh Tâm,"160 Trần Não, P. Bình An, Thành Phố Thủ Đức, TP. HCM",4.5
6,Bebebop - Quán Ăn Hàn Quốc - Phan Văn Trị,"590/2/32 Phan Văn Trị , P. 7, Gò Vấp, TP. HCM",4.5
7,Hanuri - Quán Ăn Hàn Quốc - Xô Viết Nghệ Tĩnh,"121 Xô Viết Nghệ Tĩnh, P. 17, Bình Thạnh, TP. HCM",4.5
8,Xôi Bình Tiên - Tỉnh Lộ 10,"526 Tỉnh Lộ 10, P. Bình Trị Đông, Bình Tân, TP. HCM",4.5
9,Cơm Tấm Thuận Kiều - Thuận Kiều,"54 Thuận Kiều, P. 4, Quận 11, TP. HCM",4.5
10,Bún Bò Cậu Hai,"173/45/75 Khuông Việt, P. Phú Trung, Tân Phú, TP. HCM",4.5
11,"Burger Viet - Bánh Mì, Mỳ Ý & Gà Rán - Thống Nhất","433 Đường Thống Nhất, P. 11, Gò Vấp, TP. HCM",4.5
12,Bà Xã Vegan - Nhà Hàng Chay - Hoàng Dư Khương,"53 Hoàng Dư Khương, P. 12, Quận 10, TP. HCM",4.5
13,Vịt Quay Huỳnh Ký - Lê Quang Định,"362 Lê Quang Định, P. 11, Bình Thạnh, TP. HCM",4.5
14,Bánh Canh Sườn Chìa - Hoàng Vũ,"726 -728 Lạc Long Quân, P. 9 , Tân Bình, TP. HCM",4.5
15,Lil’ Bread - Bánh Mì Hotdog Kiểu Mỹ,"501 Hoàng Sa, P. 8, Quận 3, TP. HCM",4.5
16,HỦ TIẾU MỰC PHẠM GIA - Hoàng Sa," 969 Đường Hoàng Sa, P. 11, Quận 3, TP. HCM",4.5
17,Cơm Gà Mắm Tỏi & Mì Sủi Cảo - 103,"103/34 Nguyễn Thị Thập, P. Tân Phú, Quận 7, TP. HCM",4.5
18,Tiệm Bánh Mì Những Chàng Trai - Thành Thái,"10 Thành Thái, P. 12, Quận 10, TP. HCM",4.5
